OBJECTID,Distance,BUFF_DIST,FID_LACountyCensusTract2010_Project,OBJECTID_1,GEOID10,CT10,LABEL,Shape__Are,Shape__Len,CT10Long,AreaSq,CT_Long,Shape_Length,Shape_Area
1,2,10560,1278,1279,06037302506,302506,3025.06,1325897.344,5541.124875,302506,0.3497431759,302506,15033.6095,9754493.034
2,2,10560,1279,1280,06037302505,302505,3025.05,784885.2578,5866.754844,302505,0.2070438213,302505,15901.12253,5774526.61
3,2,10560,1299,1300,06037185204,185204,1852.04,1409153.504,6398.86942,185204,0.3719255309,185204,17364.36884,10373393.57
4,2,10560,1300,1301,06037185203,185203,1852.03,801215.4688,4404.332306,185203,0.2114836726,185203,11951.01207,5898482.229
5,2,10560,1307,1308,06037186301,186301,1863.01,1699898.855,6597.626244,186301,0.4484632255,186301,17910.96309,12507906.84
6,2,10560,1320,1321,06037302504,302504,3025.04,551918.8828,4218.614807,302504,0.1455634771,302504,11451.95865,4059814.952
7,2,10560,1321,1322,06037302503,302503,3025.03,477967.8438,3669.699956,302503,0.1260511665,302503,9965.939546,3515609.515
8,2,10560,1322,1323,06037302401,302401,3024.01,2006166.02,6642.084155,302401,0.529152023,302401,15490.39405,12865508.88
9,2,10560,1337,1338,06037207103,207103,2071.03,473499.1563,3545.806121,207103,0.1250867148,207103,4178.312802,807156.9205
10,2,10560,1345,1346,06037206010,206010,2060.10,2101890.082,7762.727028,206010,0.55520843,206010,18099.06815,11407252.14
11,2,10560,1360,1361,06037183820,183820,1838.20,451336.0742,3865.70765,183820,0.1191190696,183820,4793.994671,1148996.623
12,2,10560,1361,1362,06037185100,185100,1851.00,3331004.828,9402.612418,185100,0.879123679,185100,25507.02017,24519824.31
13,2,10560,1362,1363,06037185202,185202,1852.02,1762649.125,6417.97585,185202,0.465309688,185202,17415.44759,12978055.68
14,2,10560,1363,1364,06037185310,185310,1853.10,615533.9375,4482.889798,185310,0.1625019379,185310,12164.17917,4532370.065
15,2,10560,1364,1365,06037186100,186100,1861.00,1971142.223,8100.716451,186100,0.5199445477,186100,21971.50745,14501609.27
16,2,10560,1368,1369,06037187300,187300,1873.00,1707175.645,7149.200519,187300,0.4506057651,187300,19382.74111,12567655.01
17,2,10560,1369,1370,06037181300,181300,1813.00,2105572.828,7928.846167,181300,0.5553033847,181300,12670.44532,3847078.374
18,2,10560,1370,1371,06037187200,187200,1872.00,1391803.816,5734.517172,187200,0.367348102,187200,15559.23753,10245595.56
19,2,10560,1393,1394,06037186401,186401,1864.01,1405630.824,6591.701617,186401,0.3708733309,186401,17886.21742,10343869.79
20,2,10560,1394,1395,06037187102,187102,1871.02,3213111.023,14156.63867,187102,0.8480468415,187102,59273.19919,19170578.8
21,2,10560,1400,1401,06037199700,199700,1997.00,1417968.543,5109.238947,199700,0.3745611853,199700,9670.285852,4902096.802
22,2,10560,1413,1414,06037195202,195202,1952.02,1283746.938,5353.378207,195202,0.3388358644,195202,11953.34837,7156229.147
23,2,10560,1414,1415,06037195201,195201,1952.01,878617.9531,5084.080172,195201,0.2318733898,195201,9744.809143,4294540.29
24,2,10560,1442,1443,06037980009,980009,9800.09,31123926.98,29918.38781,980009,8.208416826,980009,16556.25055,8821904.391
25,2,10560,1456,1457,06037188202,188202,1882.02,1109734.891,4329.721745,188202,0.2928145573,188202,8512.856817,4506187.572
26,2,10560,1466,1467,06037195400,195400,1954.00,1506039.023,6283.630725,195400,0.3976120391,195400,12478.93731,6375330.256
27,2,10560,1470,1471,06037195600,195600,1956.00,771006.5781,4113.236583,195600,0.2036057252,195600,9014.968366,4846463.839
28,2,10560,1471,1472,06037195100,195100,1951.00,2771269.41,8009.112648,195100,0.7314886504,195100,21728.10857,20401537.87
29,2,10560,1473,1474,06037188201,188201,1882.01,1135408.227,6278.870522,188201,0.2996195407,188201,14502.9333,7898466.709
30,2,10560,1474,1475,06037187101,187101,1871.01,1152654.43,4761.546111,187101,0.3041426353,187101,12913.46459,8482658.709
31,2,10560,1475,1476,06037186404,186404,1864.04,586592.8203,3270.856771,186404,0.1548097165,186404,8867.001323,4317771.96
32,2,10560,1476,1477,06037186403,186403,1864.03,789875.2656,4424.920504,186403,0.2084342897,186403,11994.90559,5813382.776
33,2,10560,1477,1478,06037186302,186302,1863.02,2465362.223,6607.538901,186302,0.6505494182,186302,17920.12024,18144386.15
34,2,10560,1478,1479,06037186203,186203,1862.03,1232520.313,5833.26487,186203,0.3252123512,186203,15639.8966,8899189.921
35,2,10560,1479,1480,06037186202,186202,1862.02,597168.0508,4073.260798,186202,0.1575506121,186202,11050.05894,4394221.547
36,2,10560,1480,1481,06037185320,185320,1853.20,862235,5237.618517,185320,0.2276524276,185320,14205.8496,6349495.864
37,2,10560,1485,1486,06037195500,195500,1955.00,1776207.891,7364.226685,195500,0.4689760391,195500,17686.13299,12491479.64
38,2,10560,1486,1487,06037195720,195720,1957.20,421606.9297,3076.817685,195720,0.1113552972,195720,4297.522841,916865.9311
39,2,10560,1487,1488,06037195710,195710,1957.10,706348.5469,3597.756774,195710,0.1865578957,195710,2872.798461,206528.6136
40,2,10560,1488,1489,06037197410,197410,1974.10,2037513.938,6831.549913,197410,0.5379056752,197410,18531.63191,15002599.96
41,2,10560,1490,1491,06037197300,197300,1973.00,956123.3555,5609.812422,197300,0.2524872891,197300,15215.6539,7042089.959
42,2,10560,1491,1492,06037197200,197200,1972.00,1139507.691,5474.487182,197200,0.3008457913,197200,14854.52644,8390897.06
43,2,10560,1495,1496,06037186201,186201,1862.01,763598.4063,4462.534143,186201,0.2014533387,186201,12105.49923,5618718.447
44,2,10560,1498,1499,06037183402,183402,1834.02,751159.3945,4138.768609,183402,0.198150918,183402,8791.14575,2969504.021
45,2,10560,1499,1500,06037183401,183401,1834.01,709954.3867,3864.195645,183401,0.1872984893,183401,5416.08046,1173351.884
46,2,10560,1506,1507,06037195300,195300,1953.00,848490.2695,4077.36527,195300,0.223973046,195300,3793.227254,469019.1612
47,2,10560,1533,1534,06037302103,302103,3021.03,805966.6563,3525.704109,302103,0.2125270209,302103,1926.768238,67331.85075
48,2,10560,1536,1537,06037302202,302202,3022.02,748621.1875,4035.371038,302202,0.1974150033,302202,8347.388313,693907.7302
49,2,10560,1538,1539,06037188300,188300,1883.00,1349928.797,4679.88849,188300,0.3561523224,188300,12688.96908,9933183.09
50,2,10560,1553,1554,06037302102,302102,3021.02,1518121.992,6755.244766,302102,0.4003899025,302102,16214.87316,8641829.839
51,2,10560,1554,1555,06037302302,302302,3023.02,926410.1758,4449.146061,302302,0.2443029746,302302,1505.478047,27152.50797
52,2,10560,1595,1596,06037197700,197700,1977.00,1025273.281,5130.600113,197700,0.2708272046,197700,12831.71084,5912877.707
53,2,10560,1596,1597,06037197600,197600,1976.00,567293.8281,3836.161778,197600,0.1498523761,197600,5874.621383,1743778.996
54,2,10560,1597,1598,06037197420,197420,1974.20,899655.8047,4285.298145,197420,0.2375648761,197420,11620.13988,6625867.661
55,2,10560,1598,1599,06037197500,197500,1975.00,935815.4063,3839.045198,197500,0.2471725884,197500,8911.912022,4808661.534
56,2,10560,1599,1600,06037199000,199000,1990.00,2280659.93,7017.454301,199000,0.6022667984,199000,19033.86034,16798036.18
57,2,10560,1601,1602,06037199202,199202,1992.02,1394343.301,6742.628587,199202,0.3681992931,199202,13910.46109,5716739.596
58,2,10560,1603,1604,06037980010,980010,9800.10,5598769.75,13482.87485,980010,1.478518167,980010,36575.899,41237449.05
59,2,10560,1612,1613,06037199400,199400,1994.00,1018954.672,6243.555512,199400,0.2690221689,199400,16929.53665,7503403.209
60,2,10560,1613,1614,06037199300,199300,1993.00,3788282.133,11664.03142,199300,1.000090687,199300,22998.25325,13838130.03
61,2,10560,1615,1616,06037199201,199201,1992.01,577469.6797,3291.433233,199201,0.1525091104,199201,8706.779434,4179221.68
62,2,10560,1616,1617,06037199800,199800,1998.00,951524.668,3962.920036,199800,0.2513291417,199800,5923.41903,1566368.166
63,2,10560,1655,1656,06037188100,188100,1881.00,3109394.051,9610.171539,188100,0.8200530284,188100,11695.5468,8018439.591
64,2,10560,1670,1671,06037183510,183510,1835.10,731936.7148,3853.19137,183510,0.1931255391,183510,5001.520935,1228861.465
65,2,10560,1672,1673,06037183520,183520,1835.20,625490.9336,3382.655574,183520,0.1650563301,183520,5946.198598,2046589.478
66,2,10560,1673,1674,06037183810,183810,1838.10,665251.207,3792.21268,183810,0.1755628095,183810,4579.291739,1230675.81